procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  37632 574512   3064  47232    1   41    50    79    3   41  0  0 99  0  0
 0  0  37632 471840   3064  47276    0    0     0     0    3   66  0  4 96  0  0
 1  0  37632 456836   3064  47276    0    0     0     0    4   66  0  1 99  0  0
 0  0  37632 369416   3064  47276    0    0     0     0    2   70  1  3 97  0  0
 0  0  37632 266744   3064  47276    0    0     0     0    0   68  1  4 96  0  0
 0  0  37632 164072   3064  47276    0    0     0     0    2   60  1  4 96  0  0
 0  0  37632  61460   3072  47276    0    0     0    24    2   75  1  4 95  2  0
 2  0 108544  44856    228  38844   44 70652   156 70668   89 1019  0 69 30  1  0
 0  0 145408  76204    236  39528  236 36872  1136 36872   18  338  0  2 89  8  0
 0  0 285952 112996    236  39480   20 141040    20 141040   13  458  1 19 80  0  0
